hello,1,news,29/10/2021 10.58.29
world11,1,news,29/10/2021 10.58.29
json,1,weather,29/10/2021 10.58.29
file,1,weather,29/10/2021 10.58.29
today,1,weather,29/10/2021 10.58.29
is,1,weather,29/10/2021 10.58.29
cloudy11,1,weather,29/10/2021 10.58.29
some,1,private ad,29/10/2021 10.58.29
private,1,private ad,29/10/2021 10.58.29
add11,1,private ad,29/10/2021 10.58.29
today,3,weather,29/10/2021 11.01.31
is,2,weather,29/10/2021 11.01.31
cloudy,2,weather,29/10/2021 11.01.31
hello,1,news,29/10/2021 11.01.31
world,1,news,29/10/2021 11.01.31
some,1,private ad,29/10/2021 11.01.31
text,1,private ad,29/10/2021 11.01.31
